source,source_name,target,target_name,relation,entity_type,comment_role,sentiment,confidence,evidence,weight
place:B02F50YS3U,三山森林公园,entity:9ac595910fa83695,摄影打卡,评论呈现体验,体验主题,核心识别,正向,0.95,不少摄影发烧友在捕捉疾驰的列车,1
place:B02F50YS3U,三山森林公园,entity:0d11cbf52b2a1d83,空间景观,评论呈现体验,体验主题,核心识别,正向,0.92,可以俯视山下的高速公路、跨江大桥，以及几条交汇的高铁线,1
place:B02F503R4G,中央电视台南海影视城,entity:2c8cbc347841b61b,太平天国,评论识别历史,历史记忆谱系,核心识别,正向,0.95,是以明清、民国时期文化为背景的仿古建筑群,1
place:B02F503R4G,中央电视台南海影视城,entity:83389f179322c7ee,明清,评论识别历史,历史记忆谱系,背景提及,中性,0.92,是以明清、民国时期文化为背景的仿古建筑群,1
place:B02F503R4G,中央电视台南海影视城,entity:72e587404c506a9f,民国,评论识别历史,历史记忆谱系,背景提及,中性,0.92,是以明清、民国时期文化为背景的仿古建筑群,1
place:B02F503R4G,中央电视台南海影视城,entity:70ccc20459231d3d,江南水乡,评论识别地方性,岭南地方性谱系,核心识别,正向,0.88,一定会以为这就是真实的江南水乡的生活,1
place:B02F503R4G,中央电视台南海影视城,entity:7d972f1eb0b68491,皇宫,评论识别空间,文化空间谱系,伴随识别,正向,0.85,金碧辉煌的皇宫，也让我感觉到惊叹不已,1
place:B02F503R4G,中央电视台南海影视城,entity:0355978eb9ee0252,洪秀全,评论识别人物,人物谱系,背景提及,中性,0.9,天王洪秀全、东王杨秀清的交通工具道具,1
place:B02F503R4G,中央电视台南海影视城,entity:99c93a619965d2bd,杨秀清,评论识别人物,人物谱系,背景提及,中性,0.9,天王洪秀全、东王杨秀清的交通工具道具,1
place:B02F503R4G,中央电视台南海影视城,entity:ab8701b31372a995,三国演义,评论识别历史,历史记忆谱系,背景提及,中性,0.88,据说在这里拍摄过《三国演义》和《太平天国》等电视剧,1
place:B02F503R4G,中央电视台南海影视城,entity:9df947870b8cfa3c,苏东坡,评论识别人物,人物谱系,背景提及,中性,0.85,也是《倩女幽魂》、《三国》、《少年包青天》、《苏东坡》等影视剧的取景地,1
place:B02F503R4G,中央电视台南海影视城,entity:f2652d6660d65686,岭南,评论识别地方性,岭南地方性谱系,伴随识别,正向,0.87,具有岭南特色的香港街区,1
place:B02F503R4G,中央电视台南海影视城,entity:1a230084a9ba2ac8,马术表演,评论呈现体验,体验主题,体验主题,正向,0.93,近距离的观看马术表演也是非常难得的,1
place:B02F503R4G,中央电视台南海影视城,entity:98a8e782ef9e501b,古风摄影,评论呈现体验,体验主题,体验主题,正向,0.91,集古风摄影、娱乐演出、亲子遛娃、观景摄影于一体,1
