ID,载体,载体类型,子类型,保护/认证等级,镇街,CMI,OAI,THI,MI,错位类型,文化等级,官方等级,旅游等级,三维组合,三维诊断,综合强度,文化旅游同高潜力,文化强旅游弱,旅游强文化弱,文化命中样例,旅游POI命中样例
ANC_0004,西樵山采石场遗址,不可移动文物,古遗址,全国重点文物保护单位,西樵镇,98.55,100.0,51.22,-48.05,沉睡潜力区,高,高,中,文化高-官方高-旅游中,一般耦合：持续优化,83.26,否,否,否,樵山|西樵|西樵山,云岩古寺|西樵环山花海|瞧溪谷西樵山亲水溪谷
ANC_0057,康有为故居,不可移动文物,近现代重要史迹及代表性建筑,全国重点文物保护单位,丹灶镇,100.0,100.0,48.24,-51.76,沉睡潜力区,高,高,中,文化高-官方高-旅游中,一般耦合：持续优化,82.75,否,否,否,康有为|康有为故居,康有为博物馆|康有为纪念馆(暂停开放)|良登村罗氏大宗祠|良登村罗氏仲房祠|澹浦陈公祠
ANC_0136,西樵镇,历史文化名村,中国历史文化名镇,中国历史文化名镇,西樵镇,78.92,100.0,61.18,-28.28,沉睡潜力区,高,高,高,文化高-官方高-旅游高,三维强耦合：优先品牌深化,80.03,是,否,否,西樵|西樵镇|西樵镇政府,树蛙攀岩公园|读书驿站(西樵登山大道站)|忆善书院(碧玉分院)|西樵大桥|翠岩
ANC_0001,云泉仙馆,不可移动文物,古建筑,省级文物保护单位,西樵镇,70.25,75.0,77.78,5.15,核心耦合区,高,高,高,文化高-官方高-旅游高,三维强耦合：优先品牌深化,74.34,是,否,否,云泉仙馆|西樵山云泉仙馆,西樵山风景名胜区-樵园公园|茶花园|天湖公园|西樵山-听音湖|白云洞风景区
ANC_0039,西樵山百步云梯,不可移动文物,古建筑,市级文物保护单位,西樵镇,98.58,50.0,66.51,-7.78,核心耦合区,高,高,高,文化高-官方高-旅游高,三维强耦合：优先品牌深化,71.7,是,否,否,樵山|百步云梯|西樵|西樵山,西樵镇-醒狮之乡|西樵山古遗址|西樵山文化娱乐广场|西樵山国家地质公园管理委员会|玉岩
ANC_0056,西樵山抗日阵亡将士暨死难同胞纪念碑,不可移动文物,近现代重要史迹及代表性建筑,市级文物保护单位,西樵镇,98.61,50.0,65.58,-8.73,核心耦合区,高,高,高,文化高-官方高-旅游高,三维强耦合：优先品牌深化,71.4,是,否,否,樵山|纪念碑|西樵|西樵山,西樵镇-醒狮之乡|四面佛|西樵山古遗址|玉岩|碧玉洞
ANC_0069,九江吴家大院,不可移动文物,近现代重要史迹及代表性建筑,省级文物保护单位,九江镇,69.28,75.0,66.04,-6.1,核心耦合区,高,高,高,文化高-官方高-旅游高,三维强耦合：优先品牌深化,70.11,是,否,否,九江,红棉公园|吴家大院|九江侨乡博物馆|卓弘艺术空间|九江自助图书馆(儒林东路)(暂停营业)
ANC_0037,西樵山蟹眼泉,不可移动文物,古建筑,市级文物保护单位,西樵镇,98.55,50.0,52.86,-21.42,沉睡潜力区,高,高,高,文化高-官方高-旅游高,三维强耦合：优先品牌深化,67.14,是,否,否,樵山|西樵|西樵山,西樵山宝峰寺|四面佛|西樵山风景名胜区-财神庙|龙须泉|西樵山风景名胜区-功德善祠
ANC_0038,西樵山无叶井,不可移动文物,古建筑,市级文物保护单位,西樵镇,98.66,50.0,51.95,-22.38,沉睡潜力区,高,高,高,文化高-官方高-旅游高,三维强耦合：优先品牌深化,66.87,是,否,否,无叶井|樵山|西樵|西樵山,西樵山南海观音|傅氏宗祠|西樵山宝峰寺|西樵山风景名胜区-财神庙|景良亭
ANC_0016,字祖庙,不可移动文物,古建筑,市级文物保护单位,西樵镇,74.17,50.0,76.09,14.01,空心景点区,高,高,高,文化高-官方高-旅游高,三维强耦合：优先品牌深化,66.75,是,否,否,字祖庙|祖庙,西樵山风景名胜区-樵园公园|茶花园|西樵山-听音湖|白云洞风景区|西樵山风景名胜区-观音庙
