tier,name,town,cmi,oai,thi,mi,mi_category,reason
第一梯队：优先深化型,云泉仙馆,西樵镇,70.25,75.0,77.78,5.15,核心耦合区,文化基础与旅游热度同时较高，适合作为线路、品牌和体验深化节点
第一梯队：优先深化型,西樵山百步云梯,西樵镇,98.58,50.0,66.51,-7.78,核心耦合区,文化基础与旅游热度同时较高，适合作为线路、品牌和体验深化节点
第一梯队：优先深化型,九江吴家大院,九江镇,69.28,75.0,66.04,-6.1,核心耦合区,文化基础与旅游热度同时较高，适合作为线路、品牌和体验深化节点
第一梯队：优先深化型,西樵山抗日阵亡将士暨死难同胞纪念碑,西樵镇,98.61,50.0,65.58,-8.73,核心耦合区,文化基础与旅游热度同时较高，适合作为线路、品牌和体验深化节点
第一梯队：优先深化型,平洲传统玉器制作技艺,桂城街道,57.28,50.0,56.63,2.99,核心耦合区,文化基础与旅游热度同时较高，适合作为线路、品牌和体验深化节点
第二梯队：条件改善型,西樵镇松塘村,西樵镇,80.39,100.0,4.48,-85.72,沉睡潜力区,文化记忆与官方认证较强，但旅游热度偏低，重点补可达性、展示和停留节点
第二梯队：条件改善型,九江镇烟桥烟南村,九江镇,84.51,100.0,7.09,-85.16,沉睡潜力区,文化记忆与官方认证较强，但旅游热度偏低，重点补可达性、展示和停留节点
第二梯队：条件改善型,丹灶镇仙岗社区,丹灶镇,69.35,100.0,4.48,-80.2,沉睡潜力区,文化记忆与官方认证较强，但旅游热度偏低，重点补可达性、展示和停留节点
第二梯队：条件改善型,赛龙舟（九江传统龙舟）,九江镇,78.11,75.0,0.0,-76.55,沉睡潜力区,文化记忆与官方认证较强，但旅游热度偏低，重点补可达性、展示和停留节点
第二梯队：条件改善型,西樵山仙姑亭,西樵镇,98.55,50.0,0.0,-74.28,沉睡潜力区,文化记忆与官方认证较强，但旅游热度偏低，重点补可达性、展示和停留节点
第三梯队：文化补强型,南海农谚,桂城街道,0.0,25.0,87.87,75.37,空心景点区,旅游热度较高但文化识别不足，重点补地方叙事、非遗活动和解说系统
第三梯队：文化补强型,湖山胜迹门楼,西樵镇,14.7,50.0,78.27,45.92,空心景点区,旅游热度较高但文化识别不足，重点补地方叙事、非遗活动和解说系统
第三梯队：文化补强型,小云亭,西樵镇,29.66,50.0,77.78,37.95,空心景点区,旅游热度较高但文化识别不足，重点补地方叙事、非遗活动和解说系统
第三梯队：文化补强型,象林塔,西樵镇,0.0,75.0,77.68,40.18,空心景点区,旅游热度较高但文化识别不足，重点补地方叙事、非遗活动和解说系统
第三梯队：文化补强型,光分亭,西樵镇,0.0,50.0,77.57,52.57,空心景点区,旅游热度较高但文化识别不足，重点补地方叙事、非遗活动和解说系统
