三维组合,三维诊断,载体数,代表载体
文化中-官方高-旅游中,一般耦合：持续优化,27,佛子庙镇头遗址、龙母庙、傅氏宗祠、松塘世大夫家庙、松塘东山祖祠、松塘汇川家塾、松塘见五大夫祠、松塘六世祖祠
文化中-官方高-旅游高,一般耦合：持续优化,21,绮亭陈公祠、锦岩遗址、四峰书院遗址、霍韬夫人墓、宝峰胜处摩崖石刻、奎光楼、白云古寺、松塘甘井
文化低-官方高-旅游中,一般耦合：持续优化,16,富贤遗址、火石迳遗址、傅氏山庄南门、敦义崇礼碉楼、傅老榕旧居、仙迹丹泉、沙水翰林步头、阴骘井
文化中-官方低-旅游中,一般耦合：持续优化,13,仙岗村古井(蟹泉仙井)、民乐圩市建筑群/民乐窦、禄舟村古街巷、朝山红楼、西城市、罗行圩、民乐市、太平圩
文化高-官方高-旅游中,一般耦合：持续优化,12,西樵山采石场遗址、西樵山紫姑井、康有为故居、西樵镇简村村、西樵镇百西村、丹灶镇和平村、九江双蒸酒酿制技艺、糕点制作技艺（九江煎堆制作技艺）
文化高-官方高-旅游低,文化/官方较强-旅游弱：条件改善转化,11,西樵山仙姑亭、西樵镇松塘村、西樵镇百西村头村、九江镇烟桥烟南村、丹灶镇仙岗村、丹灶镇南沙棋盘村、丹灶镇仙岗社区、丹灶镇棋盘村
文化中-官方低-旅游低,一般耦合：持续优化,10,西城圩市建筑群、苏州银河、金花庙、渔耕粤韵桑基鱼塘、河清码头、平沙岛、银河桥市、大岸圩
文化高-官方高-旅游高,三维强耦合：优先品牌深化,9,云泉仙馆、字祖庙、西樵山蟹眼泉、西樵山无叶井、西樵山百步云梯、白云洞摩崖石刻、西樵山抗日阵亡将士暨死难同胞纪念碑、九江吴家大院
文化低-官方低-旅游中,一般耦合：持续优化,8,红棉公园民国建筑群、岑局楼、横江圩、仙岗市、竹径圩、沙基圩、大桐圩、赤坎盲公话
文化中-官方高-旅游低,文化/官方较强-旅游弱：条件改善转化,7,玉廪峰摩崖石刻、南沙陈氏宗祠、方道隆墓、探花桥、庙会（大仙诞庙会）、大头佛、香云纱（坯纱）织造技艺
文化低-官方高-旅游低,一般耦合：持续优化,6,鱿鱼岗遗址、南蛇岗遗址、铁屎墩冶炼遗址、家具制作技艺（广式家具制作技艺）、烧番塔（仙岗）、周家拳
文化高-官方低-旅游低,一般耦合：持续优化,5,松塘月池及古祠堂群、西樵山传说、南海醒狮（采青技艺）、简村北帝庙会、传统龙舟（丹灶扒龙舟）
文化低-官方低-旅游低,三维均弱：暂缓或基础培育,4,大岗民居、塱心码头、风水百足桥、中西郑家大院
文化低-官方低-旅游高,旅游强-文化或官方弱：文化叙事补强,4,大伸市、南海农谚、西联村神诞、南海广式旺阁酱油酿造技艺
文化高-官方低-旅游中,一般耦合：持续优化,4,官山圩、九江圩、松塘村孔子诞、西樵白眉武术
文化低-官方高-旅游高,旅游强-文化或官方弱：文化叙事补强,4,象林塔、禄舟万寿堂、光分亭、唢呐制作技艺
文化中-官方低-旅游高,旅游强-文化或官方弱：文化叙事补强,3,烟桥村古桥、佛鹤狮头制作、花灯制作技艺
文化高-官方低-旅游高,旅游强-文化或官方弱：文化叙事补强,1,西樵山天湖
