id,name,type,layer,intro,weight
ANC_0001,云泉仙馆,不可移动文物,anchor,【不可移动文物】云泉仙馆，清乾隆丁酉年（1777），省级文物保护单位，位于西樵镇。,80
ANC_0002,绮亭陈公祠,不可移动文物,anchor,【不可移动文物】绮亭陈公祠，清光绪十三年（1887），省级文物保护单位，位于nan。,80
ANC_0003,象林塔,不可移动文物,anchor,【不可移动文物】象林塔，清康熙五年（1666年），省级文物保护单位，位于nan。,80
ANC_0004,西樵山采石场遗址,不可移动文物,anchor,【不可移动文物】西樵山采石场遗址，明-清，全国重点文物保护单位，位于nan。,80
ANC_0005,鱿鱼岗遗址,不可移动文物,anchor,【不可移动文物】鱿鱼岗遗址，新石器时代晚期-夏商，省级文物保护单位，位于nan。,80
ANC_0006,南蛇岗遗址,不可移动文物,anchor,【不可移动文物】南蛇岗遗址，新石器时代，省级文物保护单位，位于nan。,80
ANC_0007,富贤遗址,不可移动文物,anchor,【不可移动文物】富贤遗址，新石器时代，省级文物保护单位，位于nan。,80
ANC_0008,佛子庙镇头遗址,不可移动文物,anchor,【不可移动文物】佛子庙镇头遗址，新石器时代，省级文物保护单位，位于nan。,80
ANC_0009,火石迳遗址,不可移动文物,anchor,【不可移动文物】火石迳遗址，新石器时代，省级文物保护单位，位于nan。,80
ANC_0010,锦岩遗址,不可移动文物,anchor,【不可移动文物】锦岩遗址，新石器时代，省级文物保护单位，位于nan。,80
ANC_0011,四峰书院遗址,不可移动文物,anchor,【不可移动文物】四峰书院遗址，明嘉靖癸未年（1523），省级文物保护单位，位于nan。,80
ANC_0012,霍韬夫人墓,不可移动文物,anchor,【不可移动文物】霍韬夫人墓，明，省级文物保护单位，位于nan。,80
ANC_0013,宝峰胜处摩崖石刻,不可移动文物,anchor,【不可移动文物】宝峰胜处摩崖石刻，明，省级文物保护单位，位于nan。,80
ANC_0014,奎光楼,不可移动文物,anchor,【不可移动文物】奎光楼，清乾隆四十二年（1777），市级文物保护单位，位于nan。,80
ANC_0015,白云古寺,不可移动文物,anchor,【不可移动文物】白云古寺，清乾隆四十九年（1784），市级文物保护单位，位于nan。,80
ANC_0016,字祖庙,不可移动文物,anchor,【不可移动文物】字祖庙，清乾隆四十二年（1777），市级文物保护单位，位于nan。,80
ANC_0017,龙母庙,不可移动文物,anchor,【不可移动文物】龙母庙，中华民国二十七年（1938），市级文物保护单位，位于nan。,80
ANC_0018,傅氏宗祠,不可移动文物,anchor,【不可移动文物】傅氏宗祠，中华民国二十一年（1932），市级文物保护单位，位于nan。,80
ANC_0019,傅氏山庄南门,不可移动文物,anchor,【不可移动文物】傅氏山庄南门，中华民国二十一年（1932），市级文物保护单位，位于nan。,80
ANC_0020,敦义崇礼碉楼,不可移动文物,anchor,【不可移动文物】敦义崇礼碉楼，中华民国二十三年(1934年)，市级文物保护单位，位于nan。,80
ANC_0021,傅老榕旧居,不可移动文物,anchor,【不可移动文物】傅老榕旧居，中华民国21年（1932），市级文物保护单位，位于nan。,80
ANC_0022,松塘世大夫家庙,不可移动文物,anchor,【不可移动文物】松塘世大夫家庙，清，市级文物保护单位，位于nan。,80
ANC_0023,松塘东山祖祠,不可移动文物,anchor,【不可移动文物】松塘东山祖祠，清，市级文物保护单位，位于nan。,80
ANC_0024,松塘汇川家塾,不可移动文物,anchor,【不可移动文物】松塘汇川家塾，清，市级文物保护单位，位于nan。,80
ANC_0025,松塘见五大夫祠,不可移动文物,anchor,【不可移动文物】松塘见五大夫祠，清光绪七年（1881），市级文物保护单位，位于nan。,80
ANC_0026,松塘六世祖祠,不可移动文物,anchor,【不可移动文物】松塘六世祖祠，清，市级文物保护单位，位于nan。,80
ANC_0027,松塘区氏宗祠,不可移动文物,anchor,【不可移动文物】松塘区氏宗祠，清宣统二年（1909），市级文物保护单位，位于nan。,80
ANC_0028,松塘司马第,不可移动文物,anchor,【不可移动文物】松塘司马第，晚清，市级文物保护单位，位于nan。,80
ANC_0029,松塘甘井,不可移动文物,anchor,【不可移动文物】松塘甘井，宋，市级文物保护单位，位于nan。,80
ANC_0030,松塘塘西六世祖祠,不可移动文物,anchor,【不可移动文物】松塘塘西六世祖祠，清光绪乙未年（1895），市级文物保护单位，位于nan。,80
ANC_0031,松塘培元书舍,不可移动文物,anchor,【不可移动文物】松塘培元书舍，清，市级文物保护单位，位于nan。,80
ANC_0032,松塘太史第,不可移动文物,anchor,【不可移动文物】松塘太史第，清，市级文物保护单位，位于nan。,80
ANC_0033,松塘翘秀园,不可移动文物,anchor,【不可移动文物】松塘翘秀园，清，市级文物保护单位，位于nan。,80
ANC_0034,区梦觉故居,不可移动文物,anchor,【不可移动文物】区梦觉故居，1906年，市级文物保护单位，位于nan。,80
ANC_0035,西樵山紫姑井,不可移动文物,anchor,【不可移动文物】西樵山紫姑井，唐，市级文物保护单位，位于nan。,80
ANC_0036,西樵山仙姑亭,不可移动文物,anchor,【不可移动文物】西樵山仙姑亭，清光绪戊戌年（1898），市级文物保护单位，位于nan。,80
ANC_0037,西樵山蟹眼泉,不可移动文物,anchor,【不可移动文物】西樵山蟹眼泉，清，市级文物保护单位，位于nan。,80
ANC_0038,西樵山无叶井,不可移动文物,anchor,【不可移动文物】西樵山无叶井，明清，市级文物保护单位，位于nan。,80
ANC_0039,西樵山百步云梯,不可移动文物,anchor,【不可移动文物】西樵山百步云梯，明正德十二年（1517），市级文物保护单位，位于nan。,80
ANC_0040,禄舟万寿堂,不可移动文物,anchor,【不可移动文物】禄舟万寿堂，清乾隆四十九年（1784），市级文物保护单位，位于nan。,80
ANC_0041,百西潘氏大宗祠,不可移动文物,anchor,【不可移动文物】百西潘氏大宗祠，清乾隆二十六年（1762），市级文物保护单位，位于nan。,80
ANC_0042,湖山胜迹门楼,不可移动文物,anchor,【不可移动文物】湖山胜迹门楼，清咸丰三年（1853），市级文物保护单位，位于nan。,80
ANC_0043,小云亭,不可移动文物,anchor,【不可移动文物】小云亭，清咸丰八年（1858），市级文物保护单位，位于nan。,80
ANC_0044,光分亭,不可移动文物,anchor,【不可移动文物】光分亭，清道光二十八年（1848），市级文物保护单位，位于nan。,80
ANC_0045,枕流亭,不可移动文物,anchor,【不可移动文物】枕流亭，清乾隆乙酉年（1789），市级文物保护单位，位于nan。,80
ANC_0046,吉水窦,不可移动文物,anchor,【不可移动文物】吉水窦，清光绪甲午年（1894），市级文物保护单位，位于nan。,80
ANC_0047,第弌洞天牌坊,不可移动文物,anchor,【不可移动文物】第弌洞天牌坊，清乾隆年间（1736-1796），市级文物保护单位，位于nan。,80
ANC_0048,铁屎墩冶炼遗址,不可移动文物,anchor,【不可移动文物】铁屎墩冶炼遗址，清，市级文物保护单位，位于nan。,80
ANC_0049,李子长墓,不可移动文物,anchor,【不可移动文物】李子长墓，明嘉靖五年（1526），市级文物保护单位，位于nan。,80
ANC_0050,大科峰摩崖石刻,不可移动文物,anchor,【不可移动文物】大科峰摩崖石刻，清，市级文物保护单位，位于nan。,80
ANC_0051,玉廪峰摩崖石刻,不可移动文物,anchor,【不可移动文物】玉廪峰摩崖石刻，明嘉靖丙午年（1546），市级文物保护单位，位于nan。,80
ANC_0052,翠岩摩崖石刻,不可移动文物,anchor,【不可移动文物】翠岩摩崖石刻，清，市级文物保护单位，位于nan。,80
ANC_0053,白云洞摩崖石刻,不可移动文物,anchor,【不可移动文物】白云洞摩崖石刻，明—中华人民共和国，市级文物保护单位，位于nan。,80
ANC_0054,九龙岩摩崖石刻,不可移动文物,anchor,【不可移动文物】九龙岩摩崖石刻，明正德丁丑（1517），市级文物保护单位，位于nan。,80
ANC_0055,冯夏威墓,不可移动文物,anchor,【不可移动文物】冯夏威墓，1905年，市级文物保护单位，位于nan。,80
ANC_0056,西樵山抗日阵亡将士暨死难同胞纪念碑,不可移动文物,anchor,【不可移动文物】西樵山抗日阵亡将士暨死难同胞纪念碑，1947年，市级文物保护单位，位于nan。,80
ANC_0057,康有为故居,不可移动文物,anchor,【不可移动文物】康有为故居，1858－1927，全国重点文物保护单位，位于丹灶镇。,80
ANC_0058,方献夫墓,不可移动文物,anchor,【不可移动文物】方献夫墓，明，省级文物保护单位，位于nan。,80
ANC_0059,仙迹丹泉,不可移动文物,anchor,【不可移动文物】仙迹丹泉，晋，省级文物保护单位，位于nan。,80
ANC_0060,南沙陈氏宗祠,不可移动文物,anchor,【不可移动文物】南沙陈氏宗祠，清乾隆三十九年（1774），市级文物保护单位，位于nan。,80
ANC_0061,沙水翰林步头,不可移动文物,anchor,【不可移动文物】沙水翰林步头，清，市级文物保护单位，位于nan。,80
ANC_0062,阴骘井,不可移动文物,anchor,【不可移动文物】阴骘井，宋，市级文物保护单位，位于nan。,80
ANC_0063,贞烈牌坊,不可移动文物,anchor,【不可移动文物】贞烈牌坊，清康熙年间（1662-1723），市级文物保护单位，位于nan。,80
ANC_0064,东联吴氏大宗祠,不可移动文物,anchor,【不可移动文物】东联吴氏大宗祠，清，市级文物保护单位，位于nan。,80
