place_id,place_name,poi_id,town,category,review_count,selected_review_count,cultural_recognition,integration_judgement,entity_count,entity_id,name,entity_type,label,place_count,evidence_examples
place:B0FFG2CLW7,一线天,B0FFG2CLW7,西樵镇,自然景观,1,1,未形成,评论仅表达社交游玩意图，未提及任何地方文化实体或具体体验内容。,0,,,,,,
place:B02F50YS3U,三山森林公园,B02F50YS3U,桂城街道,公园绿地,10,10,未形成,游客评论主要聚焦于自然生态、休闲运动及高铁景观拍摄，未识别出任何与南海地方文化、历史人物、非遗民俗或岭南生活方式相关的文化实体，文旅融合在文化内容层面尚未显现。,2,,,,,,
place:B0FFIFHDRB,三山花海乐田,B0FFIFHDRB,桂城街道,自然景观,1,1,未形成,评论仅包含地点名称，缺乏对人物、非遗、空间、历史或岭南地方性文化的具体描述与体验反馈，无法体现文旅融合内容。,0,,,,,,
place:B0FFFAMBP4,东王府,B0FFFAMBP4,大沥镇,人文古迹,1,1,未形成,评论仅包含地点名称，缺乏对人物、非遗、空间细节、历史记忆或岭南地方性的任何实质性描述，无法体现文旅融合内容。,0,,,,,,
place:B02F503R4G,中央电视台南海影视城,B02F503R4G,狮山镇,自然景观,184,16,中识别,游客对明清民国仿古建筑群及特定影视剧历史背景有明确认知，但体验多停留在视觉打卡和表演观看层面，缺乏对深层地域文化或真实历史记忆的主动挖掘。,12,,,,,,
place:B02F507872,中心广场(玉器街),B02F507872,桂城街道,特色街区,10,10,未形成,评论文本严重错位，实际描述的是东莞中心广场的行政与现代建筑景观，完全未提及佛山南海桂城玉器街的任何玉石文化、工艺或地方性内容，文旅融合在评论层面未发生。,3,,,,,,
place:B02F508KA7,九江双蒸博物馆,B02F508KA7,九江镇,文化场馆,10,10,中识别,游客对米酒历史文化和酿造工艺有明确认知，但体验重心偏向亲子游乐、美食品尝和商业消费，文化深度挖掘与沉浸式非遗体验尚显不足。,8,,,,,,
place:B0FFH989SN,九江镇望海观音寺(不对外开放),B0FFH989SN,九江镇,宗教场所,1,1,未形成,评论仅复述地点名称，未包含任何文化实体描述或游客体验内容，无法体现文旅融合状态。,0,,,,,,
place:B0L65SO443,九龙Park欢乐世界,B0L65SO443,大沥镇,体育设施,1,1,未形成,评论仅包含地点名称，缺乏任何文化实体描述或体验细节，无法体现文旅融合内容。,0,,,,,,
place:B0FFG2ERMT,九龙公园,B0FFG2ERMT,里水镇,公园绿地,1,1,未形成,评论仅提及地点名称，未包含任何具体文化实体、历史记忆或地方性体验描述，无法体现文旅融合内容。,0,,,,,,
place:B0HDDK8M6O,九龙岩,B0HDDK8M6O,西樵镇,自然景观,5,5,弱识别,游客主要关注自然地貌与徒步体验，虽提及历史人物讲学遗址但仅作为背景路过，未形成深度的文化认知或互动体验。,4,,,,,,
place:B0JBS5S8NS,从一蓝莓采摘园(南海白塔店),B0JBS5S8NS,里水镇,休闲娱乐,1,1,未形成,评论仅包含地点名称复述，未涉及任何人物、非遗、空间、历史或岭南地方性文化内容，无法体现文旅融合。,0,,,,,,
place:B0FFGM4O2F,仙湖度假区,B0FFGM4O2F,狮山镇,自然景观,10,10,未形成,评论主要聚焦于自然景观、酒店住宿和休闲设施，未识别到任何特定的人物、非遗、历史记忆或岭南地方性文化实体，文旅融合在文化内容层面尚未体现。,2,,,,,,
place:B0KR3U1J41,佛山千灯湖音乐秀场,B0KR3U1J41,桂城街道,休闲娱乐,1,1,未形成,评论仅提及地点名称，未包含任何人物、非遗、空间、历史或地方性文化实体，无法体现文旅融合内容。,0,,,,,,
place:B0JGYHX5I0,佛山市岭南金融博物馆(新馆),B0JGYHX5I0,桂城街道,文化场馆,16,16,中识别,游客对博物馆的展陈内容和历史脉络有明确认知，但评论多侧重于通用金融史或误植广州信息，对南海本地特有的金融文化记忆挖掘不足，融合深度有待提升。,10,,,,,,
place:B0FFF0FDHE,佛山植物园,B0FFF0FDHE,狮山镇,公园绿地,11,11,未形成,评论主要聚焦于植物品种科普、自然景观观赏及休闲健身功能，缺乏对岭南地域文化、历史记忆或非遗民俗的深度识别与体验，尚未体现文旅融合特征。,3,,,,,,
place:B0KRMZRLQY,佛山活体昆虫博物馆,B0KRMZRLQY,西樵镇,文化场馆,1,1,未形成,评论仅提及地点名称，未包含任何人物、非遗、历史记忆或岭南地方性文化内容，无法体现文旅融合特征。,0,,,,,,
place:B0FFGLP8I8,假日广场,B0FFGLP8I8,里水镇,公园绿地,1,1,未形成,评论仅提及地点名称，未包含任何文化实体描述或体验细节，无法体现文旅融合特征。,0,,,,,,
place:B02F506TYO,千灯湖,B02F506TYO,桂城街道,自然景观,10,10,中识别,评论主要聚焦于现代城市景观与休闲功能，虽提及岭南金融博物馆、大观博物馆及粤式茶点等文化载体，但缺乏对具体历史人物、非遗活动或深层地方记忆的实质性体验描述，文旅融合尚处于空间共存阶段。,12,,,,,,
place:B02F506TYO,千灯湖公园,B02F506TYO,桂城街道,公园绿地,75,16,弱识别,评论主要聚焦于现代城市景观、灯光秀表演及休闲功能，缺乏对南海本土历史文脉、非遗民俗或传统岭南生活方式的深度感知与识别。,5,,,,,,
place:B0HRVR1I92,千灯湖公园-南区,B0HRVR1I92,桂城街道,公园绿地,2,2,弱识别,评论主要聚焦自然景观与休闲设施，虽提及书画展、音乐会等活动及读书驿站，但缺乏对岭南地域特色或具体文化实体的深度感知，文旅融合尚处于活动叠加阶段。,3,,,,,,
place:B0FFIUK5ZQ,千灯湖公园北区,B0FFIUK5ZQ,桂城街道,公园绿地,10,10,弱识别,评论主要聚焦于自然景观、休闲设施和光影效果，虽提及岭南文化概念和博物馆存在，但缺乏对具体文化实体（如人物、非遗、历史事件）的深度体验或认知，文旅融合尚处于景观依附阶段。,6,,,,,,
place:9c67c9031c96,千灯湖创投特色小镇,,桂城街道,特色街区,4,4,未形成,评论主要聚焦现代金融产业定位、办公环境及灯光景观体验，缺乏对南海地方历史、非遗民俗或岭南传统文脉的实质性识别与融合。,3,,,,,,
place:B02F50UZCU,华南师范大学(佛山校区南海校园)图书馆,B02F50UZCU,狮山镇,文化场馆,1,1,未形成,评论文本仅提及地点名称且存在校区混淆，未包含任何具体的地方文化实体、非遗民俗或历史记忆内容，无法体现文旅融合特征。,0,,,,,,
place:B0FFG4B8C9,南国桃园,B0FFG4B8C9,大沥镇,自然景观,13,13,中识别,评论主要聚焦于桃花自然景观与休闲功能，虽提及南海观音寺、影视城等文化空间及岭南风情描述，但缺乏对具体历史人物、非遗活动或深层地方记忆的实质性体验与认知，文化元素多作为背景存在。,7,,,,,,
