source,target,relation,confidence
宋代,清代,属于时期,0.85
元代,清代,属于时期,0.85
明代,清代,属于时期,0.85
民国,清代,属于时期,0.85
宋代,明代,属于时期,0.8
元代,明代,属于时期,0.8
清代,民国,属于时期,0.8
《南海县志》,同治十一年,属于时期,0.95
南海县,《南海县志》,记载于,0.9
康有为,南海县,出生于,0.95
康有为,南海县,活动于,0.85
康有为,《南海县志》,记载于,0.9
海目山,九江堡,位于,0.85
南海县,南海縣志,记载于,0.95
南海学宫,大德南海志,记载于,0.9
云泉仙馆,西樵山,位于,0.85
邹伯奇,南海县志,著有,0.95
南海县志,同治甲子,属于时期,0.85
佛山堡,南海县志,记载于,0.8
深村堡,南海县志,记载于,0.8
邹伯奇,佛山堡,关联人物,0.8
邹伯奇,深村堡,关联人物,0.8
道光辛丑,咸豐丙辰,属于时期,0.8
西礮臺,道光,发生于,0.9
西礮臺,咸豐,发生于,0.9
白雲山,粤秀山,同类,0.75
仙童橋,南濠,位于,0.9
青龍橋,南濠,位于,0.88
藥師庵,南濠,位于,0.92
華光廟,西濠,位于,0.9
西湖街道,惠济东仓,位于,0.95
学宫,《南海县志》,记载于,0.88
西湖书院,《南海县志》,记载于,0.88
明倫堂,《南海县志》,记载于,0.88
《南海县志》,道光丁未,记载于,0.8
西湖书院,南海县志,记载于,0.8
西樵山,南海县志,记载于,0.8
学海堂,粤秀山,位于,0.92
文澜阁,粤秀山,位于,0.9
应元书院,粤秀山,位于,0.95
学海堂,文澜阁,位于,0.88
咸豐辛酉,桂香書院,创建修建,0.8
大成殿,前志,记载于,0.86
陈献章,王守仁,同类,0.85
同治二年,西廡,发生于,0.9
阮太傅祠,粤秀山,位于,0.9
义勇祠,沙头堡,位于,0.9
北帝庙,恩洲堡,位于,0.9
康公庙,恩洲堡,位于,0.9
觀音廟,大欖堡,位于,0.95
觀音廟,沙九堡,位于,0.95
洪聖廟,大欖堡,位于,0.95
洪聖廟,沙九堡,位于,0.95
康公廟,沙九堡,位于,0.95
主帥廟,大通堡,位于,0.9
南海县志,四堡,记载于,0.95
北帝廟,西隆堡,位于,0.95
觀音廟,西隆堡,位于,0.9
觀音廟,大圃堡,位于,0.9
觀音廟,上圍堡,位于,0.9
洪聖廟,大同堡,位于,0.9
華光廟,西隆堡,位于,0.95
三界廟,西隆堡,位于,0.95
三元宫,西隆堡,位于,0.9
三元宫,大圃堡,位于,0.9
車公廟,西隆堡,位于,0.9
龙潭庙,横水渡,位于,0.9
九江镇,横水渡,位于,0.8
沙头堡,九江镇,位于,0.8
谭姓,横水渡,活动于,0.8
桑园围,大同堡,位于,0.9
桑园围,九江镇,位于,0.85
朱次琦,探花桥,关联人物,0.9
桑园围,西樵山,位于,0.85
侣笙,铁孙,同族,0.85
侣笙,铁孙,关联人物,0.9
侣笙,铁孙,活动于,0.8
南海县志,太平,记载于,0.85
康有为,南海,出生于,0.95
康有为,西樵山,活动于,0.85
南海县志,西樵山,记载于,0.8
南海县志,康有为,记载于,0.8
朱子,四書集要,著有,0.9
丁氏祠堂鐵鐘,陳佛山志,记载于,0.95
潘氏祠,丁氏祠堂鐵鐘,关联人物,0.9
湛甘泉,大宗祠,关联人物,0.9
湛若水,大宗祠,关联人物,0.9
湛甘泉,西樵山雷壇峯,关联人物,0.85
湛若水,西樵山雷壇峯,关联人物,0.85
周公,翠微石室,记载于,0.9
邹氏,康有为,同族,0.8
先生,云泉仙馆,活动于,0.85
雲泉仙館,官窰堡厚村文明社學,位于,1.0
曾燠,光孝寺,关联人物,0.8
九江镇,南海县志,记载于,0.8
文昌,南海,属于时期,0.75
康有为,景泰寺,活动于,0.85
华林寺,西樵山,位于,0.85
华林寺,南海县志,记载于,0.8
羅漢堂,華林寺,记载于,0.9
羅漢堂,華林寺,位于,0.9
羅漢堂,華林寺,承载文化,0.85
三湖书院,应潮湖,关联人物,0.7
云溪书院,云泉仙馆,同类,0.8
风劝祠,泌冲,位于,0.75
朱光祖,九江堡,出生于,0.9
朱實蓮,九江堡,活动于,0.85
