source,target,relation,weight
云泉仙馆,西樵镇,位于,1.5
康有为故居,丹灶镇,位于,1.5
崔氏大宗祠,九江镇,位于,1.5
九江双蒸酒酿制技艺,九江镇,位于,1.5
金箔锻造技艺,狮山镇,位于,1.5
九江煎堆制作技艺,九江镇,位于,1.5
西樵传统缫丝技艺,西樵镇,位于,1.5
南海竹编,西樵镇,位于,1.5
西樵大饼制作技艺,西樵镇,位于,1.5
香云纱（坯纱）织造技艺,西樵镇,位于,1.5
广式家具制作技艺,桂城街道,位于,1.5
"平洲传统玉器
制作技艺",桂城街道,位于,1.5
唢呐制作技艺,桂城街道,位于,1.5
佛鹤狮头制作,狮山镇,位于,1.5
里水毛巾织造技艺,里水镇,位于,1.5
南海醒狮（采青技艺）,西樵镇,位于,1.5
花灯制作技艺,狮山镇,位于,1.5
南海广式旺阁酱油酿造技艺,西樵镇,位于,1.5
庙会（大仙诞庙会）,西樵镇,位于,1.5
龙舟说唱（南海）,丹灶镇,位于,1.5
烧番塔(松塘),西樵镇,位于,1.5
南海农谚,西樵镇,位于,1.5
西樵山传说,西樵镇,位于,1.5
简村北帝庙会,西樵镇,位于,1.5
松塘村孔子诞,西樵镇,位于,1.5
松塘村“出色”巡游,西樵镇,位于,1.5
大头佛（民乐大头佛）,西樵镇,位于,1.5
西樵白眉武术,西樵镇,位于,1.5
赤坎盲公话,丹灶镇,位于,1.5
西联村神诞,丹灶镇,位于,1.5
传统龙舟（丹灶扒龙舟）,丹灶镇,位于,1.5
丹灶葛洪炼丹传说,丹灶镇,位于,1.5
烧番塔(仙岗),丹灶镇,位于,1.5
大头佛,九江镇,位于,1.5
赛龙舟（九江传统龙舟）,九江镇,位于,1.5
九江灯谜,九江镇,位于,1.5
九江传统鱼花技艺,九江镇,位于,1.5
周家拳,九江镇,位于,1.5
华岳心意六合八法拳,九江镇,位于,1.5
仙岗村古井(蟹泉仙井),丹灶镇,位于,1.5
西城圩市建筑群,丹灶镇,位于,1.5
大岗民居,丹灶镇,位于,1.5
苏州银河,丹灶镇,位于,1.5
塱心码头,西樵镇,位于,1.5
松塘月池及古祠堂群,西樵镇,位于,1.5
民乐圩市建筑群/民乐窦,西樵镇,位于,1.5
西樵山天湖,西樵镇,位于,1.5
禄舟村古街巷,西樵镇,位于,1.5
金花庙,西樵镇,位于,1.5
渔耕粤韵桑基鱼塘,西樵镇,位于,1.5
朝山红楼,西樵镇,位于,1.5
烟桥村古桥,九江镇,位于,1.5
风水百足桥,九江镇,位于,1.5
