梯队,POI,镇街,类型,评论数,入模评论数,评论文化识别等级,总关系数,文化实体关系数,体验主题关系数,主要评论实体,语义判断
第一梯队：高识别深化型,黄飞鸿狮艺武术馆,西樵镇,非遗体验,41,16,高识别,23,20,3,黄飞鸿(人物谱系)、黄麒英(人物谱系)、莫桂兰(人物谱系)、十三姨(人物谱系)、林世荣(人物谱系)、关德兴(人物谱系)、广东十虎(人物谱系)、醒狮(非遗民俗谱系),游客评论高度聚焦于黄飞鸿人物 IP、醒狮非遗表演及故居宗祠空间，形成了清晰的人物 - 非遗 - 空间三位一体的文化认知，但部分评论指出商业化打赏环节对文化体验的干扰。
第一梯队：高识别深化型,南海神庙,狮山镇,宗教场所,10,10,高识别,18,15,3,祝融(人物谱系)、韩愈(人物谱系)、苏东坡(人物谱系)、明顺夫人(人物谱系)、舞狮(非遗民俗谱系)、龙舟(非遗民俗谱系)、波罗诞(非遗民俗谱系)、浴日亭(文化空间谱系),评论高度聚焦于海神信仰、碑刻历史、建筑形制及波罗诞非遗活动，展现出深厚的历史记忆与活态民俗的深度融合，但部分评论存在将广州黄埔地理信息误植于佛山南海 POI 的现象。
第一梯队：高识别深化型,康有为故居(东南门),丹灶镇,人文古迹,21,16,高识别,15,13,2,康有为(人物谱系)、维新(历史记忆谱系)、百日维新(历史记忆谱系)、大同书(历史记忆谱系)、镬耳屋(岭南地方性谱系)、三间两廊(岭南地方性谱系)、康氏宗祠(文化空间谱系)、澹如楼(文化空间谱系),游客评论高度聚焦于康有为人物生平、维新历史记忆及岭南建筑空间，但部分评论指出故居本体封闭、展陈与服务脱节，显示文化资源虽被清晰识别，但文旅融合的体验完整性仍有提升空间。
第一梯队：高识别深化型,西樵山风景名胜区,西樵镇,自然景观,101,16,高识别,13,10,3,黄飞鸿(人物谱系)、醒狮(非遗民俗谱系)、南海观音(文化空间谱系)、宝峰寺(文化空间谱系)、书院(文化空间谱系)、明清采石场(历史记忆谱系)、西樵山文化(历史记忆谱系)、四方竹(岭南地方性谱系),评论中高频提及黄飞鸿、醒狮、南海观音、四方竹传说及石器文化，显示游客对人物、非遗、宗教空间及地方历史记忆有明确感知，但部分体验仍停留在景观打卡或商业消费层面。
第一梯队：高识别深化型,吴家大院,九江镇,人文古迹,10,10,高识别,11,9,2,清末光绪年间(历史记忆谱系)、中西合壁的大宅(文化空间谱系)、南海区侨乡博物馆(文化空间谱系)、侨乡(岭南地方性谱系)、吴氏族人(人物谱系)、吴庚南(人物谱系)、吴慎德堂(文化空间谱系)、双耳屋(文化空间谱系),评论高度聚焦于清末华侨建筑、家族记忆及博物馆展陈，游客能清晰识别侨乡文化内核与历史空间价值，但部分评论仍停留在服务吐槽或泛泛而谈的景观层面。
第一梯队：高识别深化型,烟桥古村,九江镇,人文古迹,9,9,高识别,11,9,2,明朝正统年间(历史记忆谱系)、清朝乾隆年间(历史记忆谱系)、珠江三角洲(岭南地方性谱系)、岭南古村(岭南地方性谱系)、清代建筑(文化空间谱系)、旗杆夹(文化空间谱系)、古牌坊(文化空间谱系)、书社(文化空间谱系),游客评论高度聚焦于村落的历史沿革、明清建筑遗存及岭南水乡意境，显示出强烈的文化内容识别，但体验多停留在静态参观与怀旧层面，深度互动性描述较少。
第一梯队：高识别深化型,叶问宗师馆,狮山镇,人文古迹,10,10,高识别,8,7,1,叶问(人物谱系)、黄飞鸿(人物谱系)、咏春拳(非遗民俗谱系)、祖屋(文化空间谱系)、传统粤式民居(文化空间谱系)、岭南(岭南地方性谱系)、中国功夫(非遗民俗谱系)、文化认知(体验主题),游客评论高度聚焦于叶问人物生平与咏春拳文化，通过影视记忆转化为实地文化认知，并有效关联了祖屋建筑空间与岭南地域特色，显示出较强的人物 - 非遗 - 空间融合特征。
第一梯队：高识别深化型,梁氏大宗祠,里水镇,人文古迹,1,1,高识别,4,4,0,梁姓(历史记忆谱系)、祠堂(文化空间谱系)、六百年前(历史记忆谱系)、重修(历史记忆谱系),游客明确识别了宗族姓氏文化、古建筑历史年代及修缮历程，体现了对地方家族记忆与文化空间的深度认知。
第一梯队：高识别深化型,盐步老龙,大沥镇,自然景观,1,1,高识别,4,3,1,岭南水乡(岭南地方性谱系)、龙舟(非遗民俗谱系)、端午(非遗民俗谱系)、赛龙舟(体验主题),评论明确将地点识别为岭南水乡文化空间，并高度关联龙舟非遗民俗与端午节庆活动，体现了自然景观向文化体验的有效转化。
第二梯队：中识别提升型,天湖公园,西樵镇,公园绿地,14,14,中识别,23,19,4,黄飞鸿(人物谱系)、醒狮(非遗民俗谱系)、舞狮(非遗民俗谱系)、黄飞鸿醒狮的看台(文化空间谱系)、水上擂台(体验主题)、摄影打卡(体验主题)、空间景观(体验主题)、康有为(人物谱系),评论显示该地通过举办黄飞鸿杯醒狮赛事形成了特定的文化体验节点，但大部分游客认知仍停留在自然景观和休闲功能层面，文化内容呈现活动化、节点化特征，尚未完全融入日常游览的核心叙事。
